"filename","type","type_pt","type_en"
"bg1.jpeg","vegetacao","folhas verdes","green leaves"
"bg2.jpeg","vegetacao","folhas verdes","green leaves"
"bg3.jpeg","vegetacao","folhas verdes","green leaves"
"bg4.jpeg","vegetacao","folhas verdes","green leaves"
"bg5.jpeg","vegetacao","folhas verdes","green leaves"
"bg6.jpeg","vegetacao","folhas verdes","green leaves"
"bg7.jpeg","vegetacao","folhas verdes","green leaves"
"bg8.jpeg","vegetacao","folhas verdes","green leaves"
"bg9.jpeg","vegetacao","folhas verdes","green leaves"
"bg10.jpeg","vegetacao","folhas verdes","green leaves"
"bg11.jpeg","vegetacao","folhas verdes","green leaves"
"bg12.jpeg","vegetacao","folhas verdes","green leaves"
"bg13.jpeg","vegetacao","folhas verdes","green leaves"
"bg14.jpeg","vegetacao","folhas verdes","green leaves"
"bg15.jpeg","vegetacao","folhas verdes","green leaves"
"bg16.jpeg","vegetacao","folhas verdes","green leaves"
"bg17.jpeg","vegetacao","folhas verdes","green leaves"
"bg18.jpeg","vegetacao","folhas verdes","green leaves"
"bg19.jpeg","vegetacao","folhas verdes","green leaves"
"bg20.jpeg","vegetacao","folhas verdes","green leaves"
"bg21.jpeg","vegetacao","folhas verdes","green leaves"
"bg22.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg23.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg24.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg25.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg26.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg27.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg28.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg29.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg30.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg31.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg32.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg33.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg34.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg35.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg36.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg37.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg38.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg39.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg40.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg41.jpeg","serrapilheira","folhas mortas","leaf litter"
"bg42.jpeg","serrapilheira","folhas mortas","leaf litter"
